Longitude,Latitude,Tiff_Width,Tiff_Height
13.31,30.0,13240.0,40.0
13.4,30.0,13600.0,40.0
13.42,30.0,13680.0,40.0
14.3,30.0,17200.0,40.0
14.31,30.0,17240.0,40.0
19.14,30.0,36560.0,40.0
19.16,30.0,36640.0,40.0
19.200000000000003,30.0,36800.0,40.0
19.21,30.0,36840.0,40.0
19.22,30.0,36880.0,40.0
19.23,30.0,36920.0,40.0
19.240000000000002,30.0,36960.0,40.0
13.47,29.99,13880.0,80.0
19.14,29.99,36560.0,80.0
19.15,29.99,36600.0,80.0
19.200000000000003,29.99,36800.0,80.0
19.21,29.99,36840.0,80.0
19.22,29.99,36880.0,80.0
19.23,29.99,36920.0,80.0
19.240000000000002,29.99,36960.0,80.0
19.25,29.99,37000.0,80.0
19.310000000000002,29.99,37240.0,80.0
13.36,29.98,13440.0,120.0
19.16,29.98,36640.0,120.0
19.17,29.98,36680.0,120.0
19.189999999999998,29.98,36760.0,120.0
19.200000000000003,29.98,36800.0,120.0
19.21,29.98,36840.0,120.0
19.22,29.98,36880.0,120.0
19.25,29.98,37000.0,120.0
19.310000000000002,29.98,37240.0,120.0
13.57,29.97,14280.0,160.0
15.48,29.97,21920.0,160.0
15.49,29.97,21960.0,160.0
17.78,29.97,31120.0,160.0
17.79,29.97,31160.0,160.0
17.8,29.97,31200.0,160.0
19.21,29.97,36840.0,160.0
19.22,29.97,36880.0,160.0
19.240000000000002,29.97,36960.0,160.0
19.25,29.97,37000.0,160.0
13.280000000000001,29.96,13120.0,200.0
13.55,29.96,14200.0,200.0
13.56,29.96,14240.0,200.0
15.469999999999999,29.96,21880.0,200.0
15.48,29.96,21920.0,200.0
17.78,29.96,31120.0,200.0
17.79,29.96,31160.0,200.0
17.8,29.96,31200.0,200.0
17.810000000000002,29.96,31240.0,200.0
19.22,29.96,36880.0,200.0
19.23,29.96,36920.0,200.0
19.240000000000002,29.96,36960.0,200.0
19.259999999999998,29.96,37040.0,200.0
13.3,29.95,13200.0,240.0
13.31,29.95,13240.0,240.0
13.39,29.95,13560.0,240.0
13.5,29.95,14000.0,240.0
13.51,29.95,14040.0,240.0
13.43,29.94,13720.0,280.0
13.43,29.93,13720.0,320.0
13.48,29.93,13920.0,320.0
18.009999999999998,29.93,32040.0,320.0
10.92,29.92,3680.0,360.0
13.44,29.92,13760.0,360.0
10.96,29.91,3840.0,400.0
10.97,29.91,3880.0,400.0
12.69,29.91,10760.0,400.0
13.3,29.91,13200.0,400.0
13.39,29.91,13560.0,400.0
13.46,29.91,13840.0,400.0
19.59,29.91,38360.0,400.0
19.6,29.91,38400.0,400.0
12.69,29.9,10760.0,440.0
13.42,29.9,13680.0,440.0
13.43,29.9,13720.0,440.0
13.44,29.9,13760.0,440.0
13.46,29.9,13840.0,440.0
13.55,29.9,14200.0,440.0
13.56,29.9,14240.0,440.0
19.6,29.9,38400.0,440.0
13.54,29.89,14160.0,480.0
13.55,29.89,14200.0,480.0
12.56,29.88,10240.0,520.0
13.55,29.88,14200.0,520.0
13.56,29.88,14240.0,520.0
13.77,29.88,15080.0,520.0
19.6,29.88,38400.0,520.0
19.67,29.88,38680.0,520.0
19.68,29.88,38720.0,520.0
19.689999999999998,29.88,38760.0,520.0
13.45,29.87,13800.0,560.0
19.68,29.87,38720.0,560.0
19.689999999999998,29.87,38760.0,560.0
19.700000000000003,29.87,38800.0,560.0
19.71,29.87,38840.0,560.0
11.3,29.86,5200.0,600.0
13.47,29.86,13880.0,600.0
13.530000000000001,29.86,14120.0,600.0
13.58,29.86,14320.0,600.0
17.259999999999998,29.86,29040.0,600.0
19.72,29.86,38880.0,600.0
19.73,29.86,38920.0,600.0
13.39,29.85,13560.0,640.0
13.4,29.85,13600.0,640.0
13.41,29.85,13640.0,640.0
13.57,29.85,14280.0,640.0
13.58,29.85,14320.0,640.0
19.72,29.85,38880.0,640.0
19.73,29.85,38920.0,640.0
19.740000000000002,29.85,38960.0,640.0
13.370000000000001,29.84,13480.0,680.0
13.39,29.84,13560.0,680.0
13.41,29.84,13640.0,680.0
13.64,29.84,14560.0,680.0
17.02,29.84,28080.0,680.0
19.75,29.84,39000.0,680.0
13.56,29.83,14240.0,720.0
13.57,29.83,14280.0,720.0
13.6,29.83,14400.0,720.0
17.009999999999998,29.83,28040.0,720.0
17.02,29.83,28080.0,720.0
19.77,29.83,39080.0,720.0
12.4,29.82,9600.0,760.0
13.5,29.82,14000.0,760.0
13.629999999999999,29.82,14520.0,760.0
19.41,29.82,37640.0,760.0
19.77,29.82,39080.0,760.0
19.9,29.82,39600.0,760.0
13.629999999999999,29.81,14520.0,800.0
17.28,29.81,29120.0,800.0
17.560000000000002,29.81,30240.0,800.0
19.4,29.81,37600.0,800.0
19.41,29.81,37640.0,800.0
19.58,29.81,38320.0,800.0
19.59,29.81,38360.0,800.0
19.78,29.81,39120.0,800.0
19.89,29.81,39560.0,800.0
19.78,29.8,39120.0,840.0
19.79,29.8,39160.0,840.0
19.8,29.8,39200.0,840.0
17.54,29.79,30160.0,880.0
19.8,29.79,39200.0,880.0
19.810000000000002,29.79,39240.0,880.0
19.82,29.78,39280.0,920.0
19.83,29.78,39320.0,920.0
10.3,29.77,1200.0,960.0
19.84,29.77,39360.0,960.0
19.43,29.76,37720.0,1000.0
12.82,29.75,11280.0,1040.0
17.29,29.75,29160.0,1040.0
17.3,29.75,29200.0,1040.0
19.41,29.75,37640.0,1040.0
17.95,29.74,31800.0,1080.0
16.86,29.73,27440.0,1120.0
19.71,29.72,38840.0,1160.0
17.91,29.71,31640.0,1200.0
