Longitude,Latitude,Tiff_Width,Tiff_Height
17.88,-30.0,31520.0,40.0
17.89,-30.0,31560.0,40.0
17.990000000000002,-30.0,31960.0,40.0
19.07,-30.0,36280.0,40.0
19.450000000000003,-30.0,37800.0,40.0
19.46,-30.0,37840.0,40.0
19.509999999999998,-30.0,38040.0,40.0
19.6,-30.0,38400.0,40.0
19.62,-30.0,38480.0,40.0
19.630000000000003,-30.0,38520.0,40.0
19.66,-30.0,38640.0,40.0
19.67,-30.0,38680.0,40.0
19.700000000000003,-30.0,38800.0,40.0
19.740000000000002,-30.0,38960.0,40.0
19.759999999999998,-30.0,39040.0,40.0
19.96,-30.0,39840.0,40.0
17.79,-30.01,31160.0,80.0
17.990000000000002,-30.01,31960.0,80.0
19.07,-30.01,36280.0,80.0
19.41,-30.01,37640.0,80.0
19.61,-30.01,38440.0,80.0
19.630000000000003,-30.01,38520.0,80.0
17.16,-30.02,28640.0,120.0
17.79,-30.02,31160.0,120.0
18.43,-30.02,33720.0,120.0
18.439999999999998,-30.02,33760.0,120.0
18.87,-30.02,35480.0,120.0
19.509999999999998,-30.02,38040.0,120.0
19.64,-30.02,38560.0,120.0
19.66,-30.02,38640.0,120.0
19.68,-30.02,38720.0,120.0
19.740000000000002,-30.02,38960.0,120.0
19.9,-30.02,39600.0,120.0
19.98,-30.02,39920.0,120.0
17.17,-30.03,28680.0,160.0
17.83,-30.03,31320.0,160.0
17.84,-30.03,31360.0,160.0
19.08,-30.03,36320.0,160.0
19.09,-30.03,36360.0,160.0
19.54,-30.03,38160.0,160.0
19.65,-30.03,38600.0,160.0
19.68,-30.03,38720.0,160.0
19.740000000000002,-30.03,38960.0,160.0
19.759999999999998,-30.03,39040.0,160.0
19.77,-30.03,39080.0,160.0
19.84,-30.03,39360.0,160.0
19.9,-30.03,39600.0,160.0
17.17,-30.04,28680.0,200.0
17.810000000000002,-30.04,31240.0,200.0
18.28,-30.04,33120.0,200.0
18.32,-30.04,33280.0,200.0
18.36,-30.04,33440.0,200.0
19.08,-30.04,36320.0,200.0
19.09,-30.04,36360.0,200.0
19.48,-30.04,37920.0,200.0
19.65,-30.04,38600.0,200.0
19.66,-30.04,38640.0,200.0
19.67,-30.04,38680.0,200.0
19.68,-30.04,38720.0,200.0
19.689999999999998,-30.04,38760.0,200.0
17.810000000000002,-30.05,31240.0,240.0
17.89,-30.05,31560.0,240.0
17.9,-30.05,31600.0,240.0
18.0,-30.05,32000.0,240.0
18.35,-30.05,33400.0,240.0
19.09,-30.05,36360.0,240.0
19.1,-30.05,36400.0,240.0
19.439999999999998,-30.05,37760.0,240.0
19.450000000000003,-30.05,37800.0,240.0
19.48,-30.05,37920.0,240.0
