Longitude,Latitude,Tiff_Width,Tiff_Height
-69.78,-20.0,880.0,40.0
-69.32,-20.0,2720.0,40.0
-69.2,-20.0,3200.0,40.0
-69.19,-20.0,3240.0,40.0
-69.18,-20.0,3280.0,40.0
-68.21,-20.0,7160.0,40.0
-68.2,-20.0,7200.0,40.0
-68.17,-20.0,7320.0,40.0
-68.16,-20.0,7360.0,40.0
-68.12,-20.0,7520.0,40.0
-67.17,-20.0,11320.0,40.0
-67.16,-20.0,11360.0,40.0
-67.15,-20.0,11400.0,40.0
-67.14,-20.0,11440.0,40.0
-67.13,-20.0,11480.0,40.0
-66.67,-20.0,13320.0,40.0
-66.66,-20.0,13360.0,40.0
-66.56,-20.0,13760.0,40.0
-66.4,-20.0,14400.0,40.0
-66.36,-20.0,14560.0,40.0
-66.35,-20.0,14600.0,40.0
-66.32,-20.0,14720.0,40.0
-66.17,-20.0,15320.0,40.0
-66.09,-20.0,15640.0,40.0
-66.06,-20.0,15760.0,40.0
-65.98,-20.0,16080.0,40.0
-65.96,-20.0,16160.0,40.0
-65.92,-20.0,16320.0,40.0
-65.46,-20.0,18160.0,40.0
-65.41,-20.0,18360.0,40.0
-65.36,-20.0,18560.0,40.0
-65.35,-20.0,18600.0,40.0
-65.33,-20.0,18680.0,40.0
-65.15,-20.0,19400.0,40.0
-65.0,-20.0,20000.0,40.0
-64.63,-20.0,21480.0,40.0
-64.62,-20.0,21520.0,40.0
-64.28,-20.0,22880.0,40.0
-63.9,-20.0,24400.0,40.0
-63.769999999999996,-20.0,24920.0,40.0
-63.7,-20.0,25200.0,40.0
-63.69,-20.0,25240.0,40.0
-63.68,-20.0,25280.0,40.0
-63.67,-20.0,25320.0,40.0
-63.519999999999996,-20.0,25920.0,40.0
-63.43,-20.0,26280.0,40.0
-63.42,-20.0,26320.0,40.0
-63.3,-20.0,26800.0,40.0
-63.29,-20.0,26840.0,40.0
-63.269999999999996,-20.0,26920.0,40.0
-63.21,-20.0,27160.0,40.0
-63.17,-20.0,27320.0,40.0
-63.14,-20.0,27440.0,40.0
-63.13,-20.0,27480.0,40.0
-68.22,-20.01,7120.0,80.0
-68.21,-20.01,7160.0,80.0
-68.2,-20.01,7200.0,80.0
-68.17,-20.01,7320.0,80.0
-68.16,-20.01,7360.0,80.0
-68.15,-20.01,7400.0,80.0
-68.11,-20.01,7560.0,80.0
-67.16,-20.01,11360.0,80.0
-67.15,-20.01,11400.0,80.0
-67.14,-20.01,11440.0,80.0
-66.36,-20.01,14560.0,80.0
-66.32,-20.01,14720.0,80.0
-66.17,-20.01,15320.0,80.0
-66.09,-20.01,15640.0,80.0
-66.05,-20.01,15800.0,80.0
-65.98,-20.01,16080.0,80.0
-65.96,-20.01,16160.0,80.0
-65.9,-20.01,16400.0,80.0
-65.88,-20.01,16480.0,80.0
-65.64,-20.01,17440.0,80.0
-65.6,-20.01,17600.0,80.0
-65.46,-20.01,18160.0,80.0
-65.45,-20.01,18200.0,80.0
-65.42,-20.01,18320.0,80.0
-65.41,-20.01,18360.0,80.0
-65.34,-20.01,18640.0,80.0
-65.33,-20.01,18680.0,80.0
-65.09,-20.01,19640.0,80.0
-65.06,-20.01,19760.0,80.0
-65.03,-20.01,19880.0,80.0
-65.01,-20.01,19960.0,80.0
-65.0,-20.01,20000.0,80.0
-64.61,-20.01,21560.0,80.0
-64.5,-20.01,22000.0,80.0
-64.49,-20.01,22040.0,80.0
-63.9,-20.01,24400.0,80.0
-63.89,-20.01,24440.0,80.0
-63.61,-20.01,25560.0,80.0
-63.6,-20.01,25600.0,80.0
-63.59,-20.01,25640.0,80.0
-63.58,-20.01,25680.0,80.0
-63.56,-20.01,25760.0,80.0
-63.53,-20.01,25880.0,80.0
-63.5,-20.01,26000.0,80.0
-63.48,-20.01,26080.0,80.0
-63.28,-20.01,26880.0,80.0
-63.26,-20.01,26960.0,80.0
-63.24,-20.01,27040.0,80.0
-63.22,-20.01,27120.0,80.0
-63.19,-20.01,27240.0,80.0
-63.18,-20.01,27280.0,80.0
-63.17,-20.01,27320.0,80.0
-63.16,-20.01,27360.0,80.0
-63.15,-20.01,27400.0,80.0
-63.13,-20.01,27480.0,80.0
-63.12,-20.01,27520.0,80.0
-69.24,-20.02,3040.0,120.0
-68.22,-20.02,7120.0,120.0
-68.2,-20.02,7200.0,120.0
-68.18,-20.02,7280.0,120.0
-68.16,-20.02,7360.0,120.0
-68.15,-20.02,7400.0,120.0
-68.11,-20.02,7560.0,120.0
-68.1,-20.02,7600.0,120.0
-67.15,-20.02,11400.0,120.0
-66.98,-20.02,12080.0,120.0
-66.49,-20.02,14040.0,120.0
-66.18,-20.02,15280.0,120.0
-66.09,-20.02,15640.0,120.0
-66.05,-20.02,15800.0,120.0
-65.99,-20.02,16040.0,120.0
-65.98,-20.02,16080.0,120.0
-65.92,-20.02,16320.0,120.0
-65.88,-20.02,16480.0,120.0
-65.71,-20.02,17160.0,120.0
-65.7,-20.02,17200.0,120.0
-65.6,-20.02,17600.0,120.0
-65.14,-20.02,19440.0,120.0
-65.03,-20.02,19880.0,120.0
-64.99,-20.02,20040.0,120.0
-64.98,-20.02,20080.0,120.0
-64.61,-20.02,21560.0,120.0
-64.45,-20.02,22200.0,120.0
-64.27,-20.02,22920.0,120.0
-64.26,-20.02,22960.0,120.0
-64.0,-20.02,24000.0,120.0
-63.92,-20.02,24320.0,120.0
-63.91,-20.02,24360.0,120.0
-63.9,-20.02,24400.0,120.0
-63.89,-20.02,24440.0,120.0
-63.7,-20.02,25200.0,120.0
-63.69,-20.02,25240.0,120.0
-63.61,-20.02,25560.0,120.0
-63.59,-20.02,25640.0,120.0
-63.56,-20.02,25760.0,120.0
-63.53,-20.02,25880.0,120.0
-63.5,-20.02,26000.0,120.0
-63.37,-20.02,26520.0,120.0
-63.31,-20.02,26760.0,120.0
-63.28,-20.02,26880.0,120.0
-63.17,-20.02,27320.0,120.0
-63.16,-20.02,27360.0,120.0
-69.3,-20.03,2800.0,160.0
-69.28,-20.03,2880.0,160.0
-68.77,-20.03,4920.0,160.0
-68.21,-20.03,7160.0,160.0
-68.2,-20.03,7200.0,160.0
-68.19,-20.03,7240.0,160.0
-68.18,-20.03,7280.0,160.0
-68.15,-20.03,7400.0,160.0
-68.14,-20.03,7440.0,160.0
-68.1,-20.03,7600.0,160.0
-67.15,-20.03,11400.0,160.0
-66.9,-20.03,12400.0,160.0
-66.89,-20.03,12440.0,160.0
-66.31,-20.03,14760.0,160.0
-66.3,-20.03,14800.0,160.0
-66.18,-20.03,15280.0,160.0
-66.09,-20.03,15640.0,160.0
-66.08,-20.03,15680.0,160.0
-65.99,-20.03,16040.0,160.0
-65.93,-20.03,16280.0,160.0
-65.92,-20.03,16320.0,160.0
-65.88,-20.03,16480.0,160.0
-65.7,-20.03,17200.0,160.0
-65.03,-20.03,19880.0,160.0
-64.27,-20.03,22920.0,160.0
-64.26,-20.03,22960.0,160.0
-64.16,-20.03,23360.0,160.0
-63.9,-20.03,24400.0,160.0
-63.7,-20.03,25200.0,160.0
-63.69,-20.03,25240.0,160.0
-63.67,-20.03,25320.0,160.0
-63.65,-20.03,25400.0,160.0
-63.62,-20.03,25520.0,160.0
-63.61,-20.03,25560.0,160.0
-63.6,-20.03,25600.0,160.0
-63.59,-20.03,25640.0,160.0
-63.519999999999996,-20.03,25920.0,160.0
-63.45,-20.03,26200.0,160.0
-63.32,-20.03,26720.0,160.0
-63.3,-20.03,26800.0,160.0
-61.49,-20.03,34040.0,160.0
-69.42,-20.04,2320.0,200.0
-69.41,-20.04,2360.0,200.0
-69.33,-20.04,2680.0,200.0
-69.32,-20.04,2720.0,200.0
-69.29,-20.04,2840.0,200.0
-69.26,-20.04,2960.0,200.0
-69.24,-20.04,3040.0,200.0
-68.21,-20.04,7160.0,200.0
-68.19,-20.04,7240.0,200.0
-68.18,-20.04,7280.0,200.0
-68.15,-20.04,7400.0,200.0
-68.14,-20.04,7440.0,200.0
-68.1,-20.04,7600.0,200.0
-67.15,-20.04,11400.0,200.0
-67.14,-20.04,11440.0,200.0
-67.13,-20.04,11480.0,200.0
-66.35,-20.04,14600.0,200.0
-66.34,-20.04,14640.0,200.0
-66.31,-20.04,14760.0,200.0
-66.19,-20.04,15240.0,200.0
-66.17,-20.04,15320.0,200.0
-66.14,-20.04,15440.0,200.0
-66.07,-20.04,15720.0,200.0
-65.99,-20.04,16040.0,200.0
-65.91,-20.04,16360.0,200.0
-65.88,-20.04,16480.0,200.0
-65.86,-20.04,16560.0,200.0
-65.64,-20.04,17440.0,200.0
-65.31,-20.04,18760.0,200.0
-65.1,-20.04,19600.0,200.0
-64.76,-20.04,20960.0,200.0
-64.27,-20.04,22920.0,200.0
-63.92,-20.04,24320.0,200.0
-63.9,-20.04,24400.0,200.0
-63.89,-20.04,24440.0,200.0
-63.76,-20.04,24960.0,200.0
