Longitude,Latitude,Tiff_Width,Tiff_Height
-64.69,32.39,21240.0,30480.0
-64.68,32.39,21280.0,30480.0
-64.67,32.39,21320.0,30480.0
-64.71,32.38,21160.0,30520.0
-64.7,32.38,21200.0,30520.0
-64.68,32.38,21280.0,30520.0
-64.65,32.38,21400.0,30520.0
-64.72,32.37,21120.0,30560.0
-64.71,32.37,21160.0,30560.0
-64.69,32.37,21240.0,30560.0
-64.68,32.37,21280.0,30560.0
-64.65,32.37,21400.0,30560.0
-64.73,32.36,21080.0,30600.0
-64.71,32.36,21160.0,30600.0
-64.69,32.36,21240.0,30600.0
-64.67,32.36,21320.0,30600.0
-64.74,32.35,21040.0,30640.0
-64.73,32.35,21080.0,30640.0
-64.72,32.35,21120.0,30640.0
-64.71,32.35,21160.0,30640.0
-64.7,32.35,21200.0,30640.0
-64.68,32.35,21280.0,30640.0
-64.84,32.34,20640.0,30680.0
-64.75,32.34,21000.0,30680.0
-64.74,32.34,21040.0,30680.0
-64.71,32.34,21160.0,30680.0
-64.7,32.34,21200.0,30680.0
-64.68,32.34,21280.0,30680.0
-64.67,32.34,21320.0,30680.0
-64.85,32.33,20600.0,30720.0
-64.75,32.33,21000.0,30720.0
-64.74,32.33,21040.0,30720.0
-64.73,32.33,21080.0,30720.0
-64.72,32.33,21120.0,30720.0
-64.71,32.33,21160.0,30720.0
-64.7,32.33,21200.0,30720.0
-64.87,32.32,20520.0,30760.0
-64.86,32.32,20560.0,30760.0
-64.84,32.32,20640.0,30760.0
-64.77,32.32,20920.0,30760.0
-64.75,32.32,21000.0,30760.0
-64.73,32.32,21080.0,30760.0
-64.72,32.32,21120.0,30760.0
-64.89,32.31,20440.0,30800.0
-64.87,32.31,20520.0,30800.0
-64.8,32.31,20800.0,30800.0
-64.79,32.31,20840.0,30800.0
-64.78,32.31,20880.0,30800.0
-64.77,32.31,20920.0,30800.0
-64.76,32.31,20960.0,30800.0
-64.75,32.31,21000.0,30800.0
-64.74,32.31,21040.0,30800.0
-64.73,32.31,21080.0,30800.0
-64.88,32.3,20480.0,30840.0
-64.86,32.3,20560.0,30840.0
-64.82,32.3,20720.0,30840.0
-64.79,32.3,20840.0,30840.0
-64.76,32.3,20960.0,30840.0
-64.87,32.29,20520.0,30880.0
-64.83,32.29,20680.0,30880.0
-64.8,32.29,20800.0,30880.0
-64.77,32.29,20920.0,30880.0
-64.76,32.29,20960.0,30880.0
-64.86,32.28,20560.0,30920.0
-64.85,32.28,20600.0,30920.0
-64.84,32.28,20640.0,30920.0
-64.81,32.28,20760.0,30920.0
-64.8,32.28,20800.0,30920.0
-64.79,32.28,20840.0,30920.0
-64.78,32.28,20880.0,30920.0
-64.77,32.28,20920.0,30920.0
-64.89,32.269999999999996,20440.0,30960.0
-64.88,32.269999999999996,20480.0,30960.0
-64.86,32.269999999999996,20560.0,30960.0
-64.85,32.269999999999996,20600.0,30960.0
-64.82,32.269999999999996,20720.0,30960.0
-64.81,32.269999999999996,20760.0,30960.0
-64.8,32.269999999999996,20800.0,30960.0
-64.79,32.269999999999996,20840.0,30960.0
-64.88,32.26,20480.0,31000.0
-64.87,32.26,20520.0,31000.0
-64.81,32.26,20760.0,31000.0
-64.87,32.25,20520.0,31040.0
-64.86,32.25,20560.0,31040.0
-64.85,32.25,20600.0,31040.0
-64.83,32.25,20680.0,31040.0
